code,name
AIZ.US,Assurant Inc
MNST.US,Monster Beverage Corp
MTCH.US,Match Group Inc
PGR.US,Progressive Corp
CSX.US,CSX Corporation
ADP.US,Automatic Data Processing Inc
ANSS.US,ANSYS Inc
AFL.US,Aflac Incorporated
SO.US,Southern Company
REG.US,Regency Centers Corporation
LMT.US,Lockheed Martin Corporation
BMY.US,Bristol-Myers Squibb Company
EIX.US,Edison International
GWW.US,WW Grainger Inc
FAST.US,Fastenal Company
PHM.US,PulteGroup Inc
INTC.US,Intel Corporation
NEM.US,Newmont Goldcorp Corp
CTAS.US,Cintas Corporation
ALL.US,The Allstate Corporation
CBOE.US,Cboe Global Markets Inc
NDAQ.US,Nasdaq Inc
NRG.US,NRG Energy Inc.
CSGP.US,CoStar Group Inc
GIS.US,General Mills Inc
CNC.US,Centene Corp
MLM.US,Martin Marietta Materials Inc
QCOM.US,Qualcomm Incorporated
ACN.US,Accenture plc
VMC.US,Vulcan Materials Company
MRO.US,Marathon Oil Corporation
AVGO.US,Broadcom Inc
AMT.US,American Tower Corp
PKG.US,Packaging Corp of America
CPB.US,Campbell Soup Company
FMC.US,FMC Corporation
RCL.US,Royal Caribbean Cruises Ltd
WAT.US,Waters Corporation
PPL.US,PPL Corporation
FITB.US,Fifth Third Bancorp
DXCM.US,DexCom Inc
SNPS.US,Synopsys Inc
HON.US,Honeywell International Inc
EW.US,Edwards Lifesciences Corp
APD.US,Air Products and Chemicals Inc
MCD.US,McDonald’s Corporation
TDY.US,Teledyne Technologies Incorporated
NTAP.US,NetApp Inc
KO.US,The Coca-Cola Company
GS.US,Goldman Sachs Group Inc
AJG.US,Arthur J Gallagher & Co
NKE.US,Nike Inc
KMB.US,Kimberly-Clark Corporation
ROL.US,Rollins Inc
HES.US,Hess Corporation
IT.US,Gartner Inc
CTSH.US,Cognizant Technology Solutions Corp Class A
WEC.US,WEC Energy Group Inc
PG.US,Procter & Gamble Company
SNA.US,Snap-On Inc
BIO.US,Bio-Rad Laboratories Inc
IRM.US,Iron Mountain Incorporated
EOG.US,EOG Resources Inc
FCX.US,Freeport-McMoran Copper & Gold Inc
TXN.US,Texas Instruments Incorporated
AON.US,Aon PLC
CHRW.US,CH Robinson Worldwide Inc
FDS.US,FactSet Research Systems Inc
GPN.US,Global Payments Inc
CMG.US,Chipotle Mexican Grill Inc
TEL.US,TE Connectivity Ltd
MSCI.US,MSCI Inc
CF.US,CF Industries Holdings Inc
TJX.US,The TJX Companies Inc
WRB.US,W. R. Berkley Corp
DLTR.US,Dollar Tree Inc
DRI.US,Darden Restaurants Inc
JPM.US,JPMorgan Chase & Co
CB.US,Chubb Ltd
KEY.US,KeyCorp
GD.US,General Dynamics Corporation
TGT.US,Target Corporation
EQR.US,Equity Residential
RJF.US,Raymond James Financial Inc.
BLDR.US,Builders FirstSource Inc
SWKS.US,Skyworks Solutions Inc
MS.US,Morgan Stanley
AAL.US,American Airlines Group
RF.US,Regions Financial Corporation
PANW.US,Palo Alto Networks Inc
AEP.US,American Electric Power Co Inc
CE.US,Celanese Corporation
AMAT.US,Applied Materials Inc
CCI.US,Crown Castle
LULU.US,Lululemon Athletica Inc.
VTR.US,Ventas Inc
PPG.US,PPG Industries Inc
INTU.US,Intuit Inc
IPG.US,Interpublic Group of Companies Inc
A.US,Agilent Technologies Inc
IFF.US,International Flavors & Fragrances Inc
EL.US,Estee Lauder Companies Inc
CNP.US,CenterPoint Energy Inc
AVY.US,Avery Dennison Corp
UNP.US,Union Pacific Corporation
