datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,158.49,160.07,156.36,156.99,821177.0,1623628800,0
2021-06-15,157.0,158.6,153.99,154.49,407412.0,1623715200,0
2021-06-16,155.29,156.84,151.11,152.0,552436.0,1623801600,0
2021-06-17,151.12,154.07,151.1,153.6,571517.0,1623888000,0
2021-06-18,152.08,163.16,152.08,156.85,861846.0,1623974400,0
2021-06-21,157.44,159.97,154.56,158.76,258178.0,1624233600,0
2021-06-22,158.27,161.1,157.295,160.62,302667.0,1624320000,0
2021-06-23,160.65,167.61,160.65,165.98,475024.0,1624406400,0
2021-06-24,166.92,168.12,164.4456,167.87,312669.0,1624492800,0
2021-06-25,169.0,173.0,167.3613,172.18,597351.0,1624579200,0
2021-06-28,174.14,176.0,170.66,172.06,418153.0,1624838400,0
2021-06-29,172.17,176.0,171.59,174.14,394870.0,1624924800,0
2021-06-30,176.1,179.3,175.7002,176.8,573198.0,1625011200,0
2021-07-01,176.8,176.8,172.38,173.26,430275.0,1625097600,0
2021-07-02,174.79,178.17,173.66,177.79,266317.0,1625184000,0
2021-07-06,177.88,177.88,174.59,176.7,350668.0,1625529600,0
2021-07-07,177.21,177.5743,172.92,175.81,214971.0,1625616000,0
2021-07-08,170.5,177.94,168.41,177.68,287082.0,1625702400,0
2021-07-09,178.74,178.74,175.22,178.29,208728.0,1625788800,0
2021-07-12,178.95,180.595,174.5901,179.92,344070.0,1626048000,0
2021-07-13,178.93,185.2873,178.22,182.3,379371.0,1626134400,0
2021-07-14,182.39,183.63,176.3548,177.31,242237.0,1626220800,0
2021-07-15,177.73,178.6,169.26,173.61,305238.0,1626307200,0
2021-07-16,174.3,177.06,173.21,173.76,315907.0,1626393600,0
2021-07-19,170.77,176.39,169.48,175.7,251409.0,1626652800,0
2021-07-20,175.97,182.66,172.75,180.56,451390.0,1626739200,0
2021-07-21,180.06,182.685,177.27,181.45,333848.0,1626825600,0
2021-07-22,181.76,182.13,178.14,180.55,224535.0,1626912000,0
2021-07-23,180.72,184.0,179.28,183.03,224230.0,1626998400,0
2021-07-26,183.3,184.78,180.73,182.04,176098.0,1627257600,0
2021-07-27,181.11,181.99,176.55,180.54,208061.0,1627344000,0
2021-07-28,180.54,186.8599,179.27,186.09,263553.0,1627430400,0
2021-07-29,186.34,188.2,184.78,186.42,164359.0,1627516800,0
2021-07-30,185.28,188.3699,184.41,186.02,256982.0,1627603200,0
2021-08-02,186.8,191.83,186.4,189.64,592347.0,1627862400,0
2021-08-03,189.4,191.0,184.622,187.32,369858.0,1627948800,0
2021-08-04,187.05,193.28,186.55,191.12,428811.0,1628035200,0
2021-08-05,190.42,195.29,188.29,193.49,310444.0,1628121600,0
2021-08-06,196.39,198.0,189.96,192.59,459938.0,1628208000,0
2021-08-09,191.83,194.14,189.33,192.37,237724.0,1628467200,0
2021-08-10,191.79,191.79,183.35,183.79,359998.0,1628553600,0
2021-08-11,183.28,185.49,180.5001,184.65,246056.0,1628640000,0
2021-08-12,183.53,187.39,181.7,186.45,246554.0,1628726400,0
2021-08-13,186.61,188.35,184.67,185.14,165844.0,1628812800,0
2021-08-16,183.4,187.37,182.15,186.24,272144.0,1629072000,0
2021-08-17,183.81,184.63,180.89,183.45,174506.0,1629158400,0
2021-08-18,183.52,185.0,180.7,182.71,172064.0,1629244800,0
2021-08-19,182.03,184.32,180.29,181.52,167955.0,1629331200,0
2021-08-20,181.54,186.92,181.23,186.83,196302.0,1629417600,0
2021-08-23,187.26,189.595,186.33,186.73,222298.0,1629676800,0
2021-08-24,187.3,187.995,184.82,185.8,252271.0,1629763200,0
2021-08-25,186.3,187.875,184.28,186.4,563542.0,1629849600,0
2021-08-26,187.23,188.67,183.69,185.15,421812.0,1629936000,0
2021-08-27,186.02,189.5,185.95,187.01,322396.0,1630022400,0
2021-08-30,187.86,193.22,185.86,192.84,428739.0,1630281600,0
2021-08-31,193.41,194.0,181.61,181.87,548057.0,1630368000,0
2021-09-01,181.78,184.67,181.22,181.65,529454.0,1630454400,0
2021-09-02,181.62,184.9099,181.06,182.87,240386.0,1630540800,0
2021-09-03,182.0,185.515,180.65,184.89,204478.0,1630627200,0
2021-09-07,184.27,185.99,181.585,182.67,281364.0,1630972800,0
2021-09-08,181.85,183.74,180.16,182.56,228410.0,1631059200,0
2021-09-09,182.99,187.085,180.95,181.15,338614.0,1631145600,0
2021-09-10,183.2818,183.2818,178.801,179.81,324406.0,1631232000,0
2021-09-13,180.0,180.505,175.13,176.25,286021.0,1631491200,0
2021-09-14,175.64,179.39,175.64,177.26,256762.0,1631577600,0
2021-09-15,176.01,178.71,172.67,177.83,311977.0,1631664000,0
2021-09-16,177.83,180.39,177.83,179.54,275859.0,1631750400,0
2021-09-17,176.74,178.3,170.29,172.38,1346994.0,1631836800,0
2021-09-20,169.91,173.82,168.76,172.94,444200.0,1632096000,0
2021-09-21,173.87,176.7399,173.87,174.65,276797.0,1632182400,0
2021-09-22,175.4,176.08,173.53,175.0,228437.0,1632268800,0
2021-09-23,175.83,177.58,174.16,176.73,194084.0,1632355200,0
2021-09-24,175.61,180.53,175.61,179.75,233332.0,1632441600,0
2021-09-27,178.9,179.73,177.675,179.02,248860.0,1632700800,0
2021-09-28,177.88,178.38,172.85,177.59,727963.0,1632787200,0
2021-09-29,178.73,180.2,174.67,175.14,290692.0,1632873600,0
2021-09-30,176.28,179.1,174.75,175.02,362797.0,1632960000,0
2021-10-01,176.44,179.32,173.54,178.77,276089.0,1633046400,0
2021-10-04,177.56,177.56,164.62,166.09,531475.0,1633305600,0
2021-10-05,166.95,170.0,164.65,165.28,380858.0,1633392000,0
2021-10-06,164.06,166.99,161.8545,166.02,258941.0,1633478400,0
2021-10-07,166.79,170.2599,166.55,168.94,176461.0,1633564800,0
2021-10-08,169.35,169.85,164.32,164.55,158746.0,1633651200,0
2021-10-11,164.28,171.3,162.76,167.5,214934.0,1633910400,0
2021-10-12,168.23,173.02,168.0,171.43,141354.0,1633996800,0
2021-10-13,173.12,177.37,172.62,176.62,219628.0,1634083200,0
2021-10-14,178.52,180.61,177.7,179.03,223152.0,1634169600,0
2021-10-15,179.77,180.51,177.73,177.94,218264.0,1634256000,0
2021-10-18,177.27,182.81,176.31,181.7,194861.0,1634515200,0
2021-10-19,183.03,185.86,181.08,185.27,295663.0,1634601600,0
2021-10-20,186.39,187.4099,178.88,179.05,300266.0,1634688000,0
2021-10-21,179.33,185.428,179.3,184.6,432427.0,1634774400,0
2021-10-22,185.35,186.0,179.7,182.65,275960.0,1634860800,0
